Time,close
2022-01-01 00:01:00,46314.36
2022-01-01 00:02:00,46367.54
2022-01-01 00:03:00,46328.0
2022-01-01 00:04:00,46316.17
2022-01-01 00:05:00,46437.0
2022-01-01 00:06:00,46520.35
2022-01-01 00:07:00,46432.35
2022-01-01 00:08:00,46385.51
2022-01-01 00:09:00,46372.32
2022-01-01 00:10:00,46382.98
2022-01-01 00:11:00,46315.33
2022-01-01 00:12:00,46289.2
2022-01-01 00:13:00,46328.74
2022-01-01 00:14:00,46335.1
2022-01-01 00:15:00,46331.72
2022-01-01 00:16:00,46328.36
2022-01-01 00:17:00,46286.91
2022-01-01 00:18:00,46290.37
2022-01-01 00:19:00,46296.93
2022-01-01 00:20:00,46331.79
2022-01-01 00:21:00,46390.08
2022-01-01 00:22:00,46396.03
2022-01-01 00:23:00,46373.11
2022-01-01 00:24:00,46398.59
2022-01-01 00:25:00,46392.24
2022-01-01 00:26:00,46392.02
2022-01-01 00:27:00,46362.01
2022-01-01 00:28:00,46359.51
2022-01-01 00:29:00,46378.6
2022-01-01 00:30:00,46366.25
2022-01-01 00:31:00,46379.66
2022-01-01 00:32:00,46391.16
2022-01-01 00:33:00,46382.23
2022-01-01 00:34:00,46449.88
2022-01-01 00:35:00,46474.19
2022-01-01 00:36:00,46496.27
2022-01-01 00:37:00,46502.78
2022-01-01 00:38:00,46501.09
2022-01-01 00:39:00,46534.84
2022-01-01 00:40:00,46580.0
2022-01-01 00:41:00,46639.99
2022-01-01 00:42:00,46647.61
2022-01-01 00:43:00,46657.51
2022-01-01 00:44:00,46607.1
2022-01-01 00:45:00,46617.43
2022-01-01 00:46:00,46632.81
2022-01-01 00:47:00,46670.14
2022-01-01 00:48:00,46716.76
2022-01-01 00:49:00,46697.58
2022-01-01 00:50:00,46692.89
2022-01-01 00:51:00,46673.1
2022-01-01 00:52:00,46661.57
2022-01-01 00:53:00,46634.01
2022-01-01 00:54:00,46655.5
2022-01-01 00:55:00,46674.72
2022-01-01 00:56:00,46668.13
2022-01-01 00:57:00,46685.26
2022-01-01 00:58:00,46656.3
2022-01-01 00:59:00,46650.01
2022-01-01 01:00:00,46640.3
2022-01-01 01:01:00,46592.17
2022-01-01 01:02:00,46613.43
2022-01-01 01:03:00,46575.01
2022-01-01 01:04:00,46576.54
2022-01-01 01:05:00,46582.24
2022-01-01 01:06:00,46611.61
2022-01-01 01:07:00,46629.21
2022-01-01 01:08:00,46658.64
2022-01-01 01:09:00,46675.92
2022-01-01 01:10:00,46730.82
2022-01-01 01:11:00,46725.11
2022-01-01 01:12:00,46734.19
2022-01-01 01:13:00,46743.47
2022-01-01 01:14:00,46771.93
2022-01-01 01:15:00,46781.91
2022-01-01 01:16:00,46837.35
2022-01-01 01:17:00,46873.36
2022-01-01 01:18:00,46865.21
2022-01-01 01:19:00,46875.73
2022-01-01 01:20:00,46895.34
2022-01-01 01:21:00,46858.54
2022-01-01 01:22:00,46817.42
2022-01-01 01:23:00,46842.67
2022-01-01 01:24:00,46836.22
2022-01-01 01:25:00,46800.0
2022-01-01 01:26:00,46789.66
2022-01-01 01:27:00,46782.59
2022-01-01 01:28:00,46775.01
2022-01-01 01:29:00,46799.99
2022-01-01 01:30:00,46816.13
2022-01-01 01:31:00,46790.0
2022-01-01 01:32:00,46840.99
2022-01-01 01:33:00,46841.61
2022-01-01 01:34:00,46829.11
2022-01-01 01:35:00,46847.09
2022-01-01 01:36:00,46859.44
2022-01-01 01:37:00,46824.08
2022-01-01 01:38:00,46770.89
2022-01-01 01:39:00,46783.37
2022-01-01 01:40:00,46767.56
2022-01-01 01:41:00,46734.0
2022-01-01 01:42:00,46748.37
2022-01-01 01:43:00,46752.99
2022-01-01 01:44:00,46748.38
2022-01-01 01:45:00,46750.73
2022-01-01 01:46:00,46726.05
2022-01-01 01:47:00,46729.29
2022-01-01 01:48:00,46763.99
2022-01-01 01:49:00,46759.73
2022-01-01 01:50:00,46759.0
2022-01-01 01:51:00,46835.59
2022-01-01 01:52:00,46782.44
2022-01-01 01:53:00,46766.05
2022-01-01 01:54:00,46800.0
2022-01-01 01:55:00,46767.48
2022-01-01 01:56:00,46782.22
2022-01-01 01:57:00,46751.04
2022-01-01 01:58:00,46773.08
2022-01-01 01:59:00,46766.78
2022-01-01 02:00:00,46796.05
2022-01-01 02:01:00,46782.64
2022-01-01 02:02:00,46793.75
2022-01-01 02:03:00,46807.63
2022-01-01 02:04:00,46815.0
2022-01-01 02:05:00,46803.71
